bpmFreq,time
80.0,13:23:31
60.0,13:23:35
0.0,13:23:39
0.0,13:23:43
0.0,13:23:47
0.0,13:23:51
0.0,13:23:54
0.0,13:23:57
60.0,13:24:00
100.0,13:24:02
100.0,13:24:04
100.0,13:24:06
100.0,13:24:08
100.0,13:24:10
100.0,13:24:12
100.0,13:24:14
100.0,13:24:16
100.0,13:24:19
100.0,13:24:22
20.0,13:24:25
0.0,13:24:28
0.0,13:24:32
20.0,13:24:36
100.0,13:24:38
60.0,13:24:41
0.0,13:24:45
0.0,13:24:49
0.0,13:24:53
0.0,13:24:57
0.0,13:25:00
0.0,13:25:03
0.0,13:25:07
0.0,13:25:10
0.0,13:25:14
