bpm,time
0,16:43:15
138,16:43:16
139,16:43:17
144,16:43:17
105,16:43:20
110,16:43:21
174,16:43:24
167,16:43:24
161,16:43:25
157,16:43:25
150,16:43:26
108,16:43:28
80,16:43:30
119,16:43:34
122,16:43:34
126,16:43:34
122,16:43:35
125,16:43:35
123,16:43:36
127,16:43:36
123,16:43:37
126,16:43:37
41,16:43:42
113,16:43:45
109,16:43:46
110,16:43:46
110,16:43:47
114,16:43:47
121,16:43:47
128,16:43:48
238,16:43:54
200,16:43:57
202,16:43:57
205,16:43:57
208,16:43:58
212,16:43:58
215,16:43:58
218,16:43:58
222,16:43:59
226,16:43:59
230,16:43:59
234,16:43:59
234,16:44:00
235,16:44:00
232,16:44:00
231,16:44:01
230,16:44:01
231,16:44:01
