DistressFreq,Time
10.0,22:40:40
0.0,22:40:41
0.0,22:40:43
0.0,22:40:44
0.0,22:40:45
40.0,22:40:46
60.0,22:40:47
40.0,22:40:48
60.0,22:40:49
20.0,22:40:50
30.0,22:40:51
50.0,22:40:52
70.0,22:40:53
90.0,22:40:54
50.0,22:40:55
70.0,22:40:56
60.0,22:40:57
50.0,22:40:58
80.0,22:40:59
60.0,22:41:00
60.0,22:41:01
40.0,22:41:02
30.0,22:41:03
40.0,22:41:04
50.0,22:41:05
50.0,22:41:05
70.0,22:41:06
50.0,22:41:07
10.0,22:41:08
0.0,22:41:09
10.0,22:41:10
10.0,22:41:11
30.0,22:41:12
50.0,22:41:13
70.0,22:41:14
60.0,22:41:16
70.0,22:41:17
80.0,22:41:17
90.0,22:41:18
90.0,22:41:20
40.0,22:41:21
0.0,22:41:22
40.0,22:41:23
20.0,22:41:24
50.0,22:41:25
40.0,22:41:26
30.0,22:41:27
60.0,22:41:28
50.0,22:41:29
60.0,22:41:30
70.0,22:41:31
70.0,22:41:35
100.0,22:41:37
100.0,22:41:38
30.0,22:41:39
10.0,22:41:40
40.0,22:41:42
50.0,22:41:43
70.0,22:41:44
80.0,22:41:45
70.0,22:41:46
80.0,22:41:47
20.0,22:41:48
80.0,22:41:49
40.0,22:41:50
60.0,22:41:52
70.0,22:41:53
80.0,22:41:54
90.0,22:41:56
80.0,22:41:57
90.0,22:41:59
80.0,22:42:00
90.0,22:42:01
70.0,22:42:02
30.0,22:42:03
30.0,22:42:04
40.0,22:42:05
70.0,22:42:06
100.0,22:42:08
70.0,22:42:09
40.0,22:42:10
20.0,22:42:12
50.0,22:42:14
60.0,22:42:16
80.0,22:42:17
70.0,22:42:18
80.0,22:42:19
20.0,22:42:21
10.0,22:42:23
0.0,22:42:24
0.0,22:42:26
0.0,22:42:27
20.0,22:42:28
90.0,22:42:29
90.0,22:42:31
90.0,22:42:32
80.0,22:42:33
60.0,22:42:34
50.0,22:42:35
80.0,22:42:37
60.0,22:42:38
90.0,22:42:39
80.0,22:42:40
80.0,22:42:41
70.0,22:42:43
10.0,22:42:45
10.0,22:42:46
40.0,22:42:47
60.0,22:42:49
40.0,22:42:50
0.0,22:42:51
